,Model Name,Network type,Dimensions,Sim,Display type,Display size,OS,RAM,CPU,Main Camera
0,Samsung Galaxy Xcover FieldPro,GSM / HSPA / LTE,158.5 x 80.7 x 14.2 mm (6.24 x 3.18 x 0.56 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~56.1% screen-to-body ratio)",Android 9.0 (Pie),32GB 3GB RAM,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),"12 MP, PDAF"
1,Samsung Galaxy A70s,GSM / HSPA / LTE,164.3 x 76.7 x 7.9 mm (6.47 x 3.02 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.0% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 128GB 8GB RAM",Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"64 MP, f/1.8, (wide), 1/1.7"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor"
2,Samsung Galaxy A20s,GSM / HSPA / LTE,163.3 x 77.5 x 8 mm (6.43 x 3.05 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm2 (~81.9% screen-to-body ratio)",Android 9.0 (Pie),"32GB 3GB RAM, 64GB 4GB RAM",Octa-core 1.8 GHz Cortex-A53,"13 MP, f/1.8, 27mm (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor"
3,Samsung Galaxy M30s,GSM / HSPA / LTE,159 x 75.1 x 8.9 mm (6.26 x 2.96 x 0.35 in),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.2% screen-to-body ratio)",Android 9.0 (Pie); One UI,"64GB 4GB RAM, 128GB 6GB RAM",Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"48 MP, f/2.0, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor"
4,Samsung Galaxy M10s,GSM / HSPA / LTE,158.4 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~85.0% screen-to-body ratio)",Android 9.0 (Pie),32GB 3GB RAM,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),"13 MP, f/1.9, 27mm (wide), 1/3.1"", 1.12µm, PDAF
5 MP, f/2.2, 12mm (ultrawide)"
5,Samsung Galaxy Fold 5G,GSM / HSPA / LTE / 5G,Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,Nano-SIM,"Dynamic AMOLED capacitive touchscreen, 16M colors","7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)",Android 9.0 (Pie),512GB 12GB RAM,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm"
6,Samsung Galaxy Fold,GSM / HSPA / LTE,Unfolded: 160.9 x 117.9 x 6.9 mm Folded: 160.9 x 62.9 x 15.5 mm,"Nano-SIM, Electronic SIM card (eSIM)","Dynamic AMOLED capacitive touchscreen, 16M colors","7.3 inches, 162.6 cm2 (~85.7% screen-to-body ratio)",Android 9.0 (Pie),512GB 12GB RAM,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1.0µm"
7,Samsung Galaxy Tab Active Pro,GSM / HSPA / LTE,243.5 x 170.2 x 9.9 mm (9.59 x 6.70 x 0.39 in),Nano-SIM,"LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~71.4% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core (2x2.0 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),"13 MP, AF"
8,Samsung Galaxy A90 5G,GSM / HSPA / LTE / 5G,164.8 x 76.4 x 8.4 mm (6.49 x 3.01 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm2 (~86.1% screen-to-body ratio)",Android 9.0 (Pie); One UI,"128GB 6GB RAM, 128GB 8GB RAM",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"48 MP, f/2.0, 26mm (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1.12µm
5 MP, f/2.2, depth sensor"
9,Samsung Galaxy A30s,GSM / HSPA / LTE,158.5 x 74.7 x 7.8 mm (6.24 x 2.94 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.9% screen-to-body ratio)",Android 9.0 (Pie),"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"25 MP, f/1.7, PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor
"
